	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	index_env_pca	index_env_model2	index_envm_uw	index_env_pca	index_env_model2	index_envm_uw
						
std_NTL	0.0912***	-0.00247	-0.00175	-0.0536***	-0.175***	-0.124***
	(0.00329)	(0.00402)	(0.00284)	(0.00158)	(0.00184)	(0.00130)
std_NTL_sq	0.0110***	0.0233***	0.0165***	-0.00616***	0.00223***	0.00158***
	(0.000797)	(0.000990)	(0.000700)	(0.000587)	(0.000608)	(0.000430)
Constant	0.0423***	0.0312***	0.0220***	0.0892***	0.169***	0.119***
	(0.000972)	(0.00121)	(0.000855)	(0.000810)	(0.000884)	(0.000625)
						
Observations	325,860	326,250	326,250	325,860	326,250	326,250
R-squared	0.013	0.007	0.007	0.005	0.028	0.028
Number of xtid	32,586	32,625	32,625	32,586	32,625	32,625
Robust standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
