	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	index_env_model2	index_envm_uw	index_env_model2	index_envm_uw	index_env_model2	index_envm_uw	index_env_model2	index_envm_uw
								
index_econ_pca	0.562***	0.397***			-0.367***	-0.259***		
	(0.00860)	(0.00608)			(0.0107)	(0.00760)		
index_econ_pca_sq	-0.0150***	-0.0106***			-0.0109***	-0.00769***		
	(0.000886)	(0.000626)			(0.00171)	(0.00121)		
index_econ_uw			0.795***	0.562***			-0.518***	-0.367***
			(0.0122)	(0.00860)			(0.0152)	(0.0107)
index_econ_uw_sq			-0.0299***	-0.0212***			-0.0218***	-0.0154***
			(0.00177)	(0.00125)			(0.00342)	(0.00242)
Constant	0.134***	0.0946***	0.134***	0.0946***	0.110***	0.0777***	0.110***	0.0777***
	(0.00203)	(0.00144)	(0.00203)	(0.00144)	(0.00397)	(0.00280)	(0.00397)	(0.00280)
								
Observations	65,250	65,250	65,250	65,250	65,250	65,250	65,250	65,250
R-squared	0.161	0.161	0.161	0.161	0.085	0.085	0.085	0.085
Number of xtid	32,625	32,625	32,625	32,625	32,625	32,625	32,625	32,625
Robust standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
