	(1)	(2)	(3)	(4)
VARIABLES	index_env_pca	index_env_pca	index_env_pca	index_env_pca
				
index_econ_pca	0.864***		-0.337***	
	(0.0107)		(0.0101)	
index_econ_pca_sq	-0.0318***		-0.00848***	
	(0.00145)		(0.00154)	
index_econ_uw		1.223***		-0.477***
		(0.0152)		(0.0143)
index_econ_uw_sq		-0.0636***		-0.0170***
		(0.00289)		(0.00308)
Constant	0.167***	0.167***	0.114***	0.114***
	(0.00298)	(0.00298)	(0.00365)	(0.00365)
				
Observations	65,172	65,172	65,172	65,172
R-squared	0.240	0.240	0.076	0.076
Number of xtid	32,586	32,586	32,586	32,586
Robust standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
