	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	std_NTL	std_NTL	std_NTL	std_NTL	std_NTL	std_NTL
						
index_env	0.0688***			-0.0677***		
	(0.00222)			(0.00182)		
sq_index_env_full	0.0721***			-0.0135***		
	(0.00168)			(0.000836)		
index_env_model2		0.0130***			-0.157***	
		(0.00188)			(0.00167)	
index_model2_sq_pca		0.0747***			-0.0130***	
		(0.00174)			(0.000866)	
index_envm_uw			0.0183***			-0.222***
			(0.00266)			(0.00236)
index_envm_uw_sq			0.149***			-0.0260***
			(0.00348)			(0.00173)
Constant	-0.225***	-0.200***	-0.200***	0.441***	0.448***	0.448***
	(0.00240)	(0.00190)	(0.00190)	(0.00140)	(0.00112)	(0.00112)
						
Observations	325,860	326,250	326,250	325,860	326,250	326,250
R-squared	0.059	0.050	0.050	0.006	0.029	0.029
Number of xtid	32,586	32,625	32,625	32,586	32,625	32,625
Robust standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
