	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	index_econ_pca	index_econ_pca	index_econ_uw	index_econ_uw	index_econ_pca	index_econ_pca	index_econ_uw	index_econ_uw
								
index_env_model2	0.244***		0.173***		-0.164***		-0.116***	
	(0.00412)		(0.00292)		(0.00344)		(0.00243)	
index_model2_sq_pca	0.0673***		0.0476***		-0.0507***		-0.0358***	
	(0.00264)		(0.00187)		(0.00167)		(0.00118)	
index_envm_uw		0.346***		0.244***		-0.231***		-0.164***
		(0.00583)		(0.00412)		(0.00487)		(0.00344)
index_envm_uw_sq		0.135***		0.0951***		-0.101***		-0.0717***
		(0.00528)		(0.00373)		(0.00334)		(0.00236)
Constant	-0.207***	-0.207***	-0.146***	-0.146***	0.513***	0.513***	0.363***	0.363***
	(0.00298)	(0.00298)	(0.00211)	(0.00211)	(0.00216)	(0.00216)	(0.00153)	(0.00153)
								
Observations	65,250	65,250	65,250	65,250	65,250	65,250	65,250	65,250
R-squared	0.208	0.208	0.208	0.208	0.126	0.126	0.126	0.126
Number of xtid	32,625	32,625	32,625	32,625	32,625	32,625	32,625	32,625
Robust standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
