	(1)	(2)	(3)	(4)
VARIABLES	index_econ_pca	index_econ_uw	index_econ_pca	index_econ_uw
				
index_env	0.271***	0.192***	-0.166***	-0.118***
	(0.00327)	(0.00231)	(0.00360)	(0.00254)
sq_index_env_full	0.0501***	0.0354***	-0.0480***	-0.0339***
	(0.00190)	(0.00135)	(0.00153)	(0.00108)
Constant	-0.205***	-0.145***	0.533***	0.377***
	(0.00303)	(0.00214)	(0.00264)	(0.00187)
				
Observations	65,172	65,172	65,172	65,172
R-squared	0.271	0.271	0.120	0.120
Number of xtid	32,586	32,586	32,586	32,586
Robust standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
